"average_covered_charges","average_medicare_payments","average_medicare_payments_2","drg_definition","hospital_referral_region_description","provider_city","provider_id","provider_name","provider_state","provider_street_address","provider_zip_code","total_discharges"
"55814.13","6218","5163.6","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","CARTERSVILLE","110030","CARTERSVILLE MEDICAL CENTER","GA","960 JOE FRANK HARRIS PARKWAY","30120","15"
"50177.25","6388","5544.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","GRIFFIN","110031","SPALDING REGIONAL MEDICAL CENTER","GA","601 SOUTH 8TH STREET","30223","12"
"22763.40","6062.51","4774.60","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","MARIETTA","110035","WELLSTAR KENNESTONE HOSPITAL","GA","677 CHURCH STREET","30060","86"
"23979.53","5389.91","4314.06","069 - TRANSIENT ISCHEMIA","MA - Boston","SALEM","220035","NORTH SHORE MEDICAL CENTER","MA","81 HIGHLAND AVENUE","1970","80"
"31743.88","7150.12","5752.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Savannah","SAVANNAH","110036","MEMORIAL HEALTH UNIV MED CEN, INC","GA","4700 WATERS AVENUE","31403","50"
"26322.26","5687.57","4694.80","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","FL - Tallahassee","THOMASVILLE","110038","JOHN D ARCHBOLD MEMORIAL HOSPITAL","GA","915 GORDON AVENUE & MIMOSA DRIVE","31792","26"
"26797.26","5407.91","4480.38","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Savannah","SAVANNAH","110043","ST JOSEPH'S HOSPITAL - SAVANNAH","GA","11705 MERCY BOULEVARD","31419","34"
"38632.94","6946.70","5593.64","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Rome","ROME","110054","FLOYD MEDICAL CENTER","GA","304 TURNER MCCALL BLVD P O BOX 233","30162","17"
"25033.73","6434.71","5249.39","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","ATHENS","110074","ATHENS REGIONAL MEDICAL CENTER","GA","1199 PRINCE AVENUE","30606","53"
"24317.13","6812.36","6044.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","DECATUR","110076","DEKALB MEDICAL CENTER","GA","2701 N DECATUR ROAD","30033","22"
"17527.91","5528.84","4533.97","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","ATLANTA","110082","SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC","GA","5665 PEACHTREE DUNWOODY ROAD","30342","95"
"29914.32","5447.86","4350.55","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","ATLANTA","110083","PIEDMONT HOSPITAL","GA","1968 PEACHTREE RD NW","30309","43"
"28352.44","6364.48","5364.18","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","LAWRENCEVILLE","110087","GWINNETT MEDICAL CENTER","GA","1000 MEDICAL CENTER BOULEVARD","30045","27"
"18003.83","6985.11","5683","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Macon","MACON","110107","MEDICAL CENTER OF CENTRAL GEORGIA","GA","777 HEMLOCK STREET","31201","61"
"18432.25","6024.25","5088.91","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","FL - Tallahassee","VALDOSTA","110122","SOUTH GEORGIA MEDICAL CENTER","GA","2501 NORTH PATTERSON STREET, PO BOX 1727","31603","12"
"36511.86","8246.04","5490","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Macon","DUBLIN","110125","FAIRVIEW PARK HOSPITAL","GA","200 INDUSTRIAL BOULEVARD","31021","22"
"18721.40","5531.71","4321.19","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Columbus","COLUMBUS","110129","ST FRANCIS HOSPITAL, INC","GA","2122 MANCHESTER EXPRESSWAY","31995","52"
"27073.96","6593.66","5342.48","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","AUSTELL","110143","WELLSTAR COBB HOSPITAL","GA","3950 AUSTELL RD","30106","33"
"26099.72","5939.4","4807.36","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Macon","MACON","110164","COLISEUM MEDICAL CENTER","GA","350 HOSPITAL DRIVE","31217","25"
"28006.86","5986.72","4254.34","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Rome","ROME","110168","REDMOND REGIONAL MEDICAL CENTER","GA","501 REDMOND ROAD","30165","29"
"49223.72","6550","5520.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Augusta","AUGUSTA","110177","DOCTORS HOSPITAL","GA","3651 WHEELER ROAD","30909","11"
"30112.66","6156.66","5129.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","STOCKBRIDGE","110191","HENRY MEDICAL CENTER, INC","GA","1133 EAGLE'S LANDING PARKWAY","30281","12"
"27794.70","5543.83","4302.16","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","GA - Atlanta","FAYETTEVILLE","110215","PIEDMONT FAYETTE HOSPITAL","GA","1255 HIGHWAY 54 WEST","30214","24"
"27809.95","10982.04","6846.87","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","HI - Honolulu","HONOLULU","120001","THE QUEENS MEDICAL CENTER","HI","1301 PUNCHBOWL ST","96813","24"
"10584.16","6377.66","4856.22","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","ID - Boise","TWIN FALLS","130002","ST LUKES MAGIC VALLEY RMC","ID","801 POLE LINE ROAD WEST","83301","18"
"13963.55","6344.42","4960.68","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","ID - Boise","BOISE","130006","ST LUKES REGIONAL MEDICAL CENTER","ID","190 EAST BANNOCK STREET","83712","38"
"25880.52","6117.17","5321.88","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","ID - Boise","BOISE","130007","ST ALPHONSUS REGIONAL MEDICAL CENTER","ID","1055 NORTH CURTIS ROAD","83706","17"
"25589.22","6324.44","5330.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","ID - Idaho Falls","IDAHO FALLS","130018","EASTERN IDAHO REGIONAL MEDICAL CENTER","ID","3100 CHANNING WAY","83404","18"
"24274.63","7910.27","6889.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","UT - Salt Lake City","POCATELLO","130028","PORTNEUF MEDICAL CENTER","ID","777 HOSPITAL WAY","83201","11"
"14757.63","6267","5558.27","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","WA - Spokane","COEUR D'ALENE","130049","KOOTENAI MEDICAL CENTER","ID","2003 KOOTENAI HEALTH WAY","83814","11"
"27179.09","7542.92","4876.67","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Joliet","JOLIET","140007","PROVENA ST JOSEPH MEDICAL CENTER","IL","333 N MADISON","60435","71"
"56027","18420.56","4401.87","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Melrose Park","MELROSE PARK","140008","LOYOLA GOTTLIEB MEMORIAL HOSPITAL","IL","701 WEST NORTH AVE","60160","16"
"27734.80","7598.06","5628.93","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Evanston","EVANSTON","140010","EVANSTON HOSPITAL","IL","2650 RIDGE AVE","60201","31"
"29888.64","5432.41","4378.61","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Peoria","PEORIA","140013","PROCTOR HOSPITAL","IL","5409 N KNOXVILLE AVE","61614","31"
"26562.94","6658.83","5385.24","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Springfield","QUINCY","140015","BLESSING HOSPITAL","IL","BROADWAY AT 11TH STREET","62301","37"
"60712.83","6744.33","5992.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Aurora","AURORA","140029","COPLEY MEMORIAL HOSPITAL","IL","2000 OGDEN AVENUE","60504","12"
"38850.95","6444.33","5378.42","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Elgin","ELGIN","140030","SHERMAN HOSPITAL","IL","1425 NORTH RANDALL ROAD","60123","21"
"59913.8","5957.4","5133.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Peoria","GALESBURG","140040","GALESBURG COTTAGE HOSPITAL","IL","695 N KELLOGG ST","61401","15"
"25577","6856.21","4778.26","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Rockford","STERLING","140043","CGH MEDICAL CENTER","IL","100 EAST LEFEVRE ROAD","61081","23"
"27295.66","5691.6","4719.06","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","MO - St. Louis","MOUNT VERNON","140046","GOOD SAMARITAN REGIONAL HLTH CENTER","IL","605 N 12TH STREET","62864","15"
"30994.32","6563.08","5606.49","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Springfield","SPRINGFIELD","140053","ST JOHNS HOSPITAL","IL","800 E CARPENTER ST","62769","61"
"44706.58","7427.75","6266.91","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Melrose Park","BERWYN","140054","MACNEAL  HOSPITAL","IL","3249 SOUTH OAK PARK AVENUE","60402","12"
"48837.45","7862.81","4902.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Blue Island","PALOS HEIGHTS","140062","PALOS COMMUNITY HOSPITAL","IL","12251 SOUTH 80TH AVENUE","60463","22"
"36728.92","6313.57","5269.28","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Melrose Park","LA GRANGE","140065","ADVENTIST LA GRANGE MEMORIAL HOSPITAL","IL","5101 S WILLOW SPRINGS RD","60525","14"
"38928.30","6732.84","5867","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Peoria","PEORIA","140067","SAINT FRANCIS MEDICAL CENTER","IL","530 NE GLEN OAK AVE","61637","26"
"48918.83","17347","6934.08","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Evanston","EVANSTON","140080","RHC ST FRANCIS HOSPITAL","IL","355 RIDGE AVE","60202","12"
"36568.87","6665.03","5616.38","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Urbana","URBANA","140091","CARLE FOUNDATION HOSPITAL","IL","611 WEST PARK STREET","61801","31"
"36609.46","6398.53","5498.26","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Urbana","URBANA","140113","PROVENA COVENANT MEDICAL CENTER- URBANA","IL","1400 WEST PARK AVENUE","61801","30"
"48936.26","9793.31","6142.89","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Chicago","CHICAGO","140114","SWEDISH COVENANT HOSPITAL","IL","5145 N CALIFORNIA AVE","60625","19"
"19388","6682.12","4682.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Elgin","MCHENRY","140116","CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL","IL","4201 MEDICAL CENTER DRIVE","60050","16"
"32857.70","6637.20","5745.79","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Chicago","CHICAGO","140117","RESURRECTION MEDICAL CENTER","IL","7435 W TALCOTT AVENUE","60631","34"
"51527.33","10459.6","8634.46","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Chicago","CHICAGO","140119","RUSH UNIVERSITY MEDICAL CENTER","IL","1653 WEST CONGRESS PARKWAY","60612","15"
"20295.85","6036.14","5158.14","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Bloomington","NORMAL","140127","BROMENN HEALTHCARE","IL","1304 FRANKLIN AVENUE","61761","14"
"27401.26","5837.73","5008.68","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Springfield","DECATUR","140135","DECATUR MEMORIAL HOSPITAL","IL","2300 NORTH EDWARD STREET","62526","19"
"21020.56","6603.25","5126.21","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Springfield","SPRINGFIELD","140148","MEMORIAL MEDICAL CENTER","IL","701 N FIRST ST","62781","66"
"28885.31","5726.05","4774.47","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Bloomington","BLOOMINGTON","140162","ST JOSEPH MEDICAL CENTER","IL","2200 E WASHINGTON","61701","19"
"27280.05","6098.7","5146.1","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","MO - St. Louis","CARBONDALE","140164","MEMORIAL HOSPITAL OF CARBONDALE","IL","405 W JACKSON","62902","20"
"34890.94","6409.41","5418.11","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Springfield","DECATUR","140166","ST MARYS HOSPITAL","IL","1800 E LAKE SHORE DR","62521","17"
"23146.17","9434","6022.05","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Blue Island","OLYMPIA FIELDS","140172","FRANCISCAN ST JAMES HEALTH","IL","20201 S CRAWFORD AVENUE","60461","17"
"20974.36","6176.90","5259.45","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Rockford","WOODSTOCK","140176","CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL","IL","3701 DOTY ROAD","60098","11"
"47949.70","6539.29","4641.11","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","KY - Paducah","MARION","140184","HEARTLAND REGIONAL MEDICAL CENTER","IL","3333 W DE YOUNG","62959","27"
"20829.33","5850.61","4429.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","MO - St. Louis","BELLEVILLE","140185","MEMORIAL HOSPITAL","IL","4500 MEMORIAL DRIVE","62226","18"
"31877","6806.85","6083.71","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Joliet","KANKAKEE","140186","RIVERSIDE MEDICAL CENTER","IL","350 N WALL ST","60901","14"
"25633.85","5329","4145.21","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","MO - St. Louis","BELLEVILLE","140187","ST ELIZABETH HOSPITAL","IL","211 S THIRD ST","62220","14"
"18353","6651.16","4669.27","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Urbana","MATTOON","140189","SARAH BUSH LINCOLN HEALTH CENTER","IL","1000 HEALTH CENTER DRIVE P O BOX 372","61938","18"
"24659.83","6694.66","5767.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Blue Island","HARVEY","140191","INGALLS MEMORIAL HOSPITAL","IL","ONE INGALLS DRIVE","60426","12"
"34774.21","6956.03","4375.17","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Melrose Park","ELMHURST","140200","ELMHURST MEMORIAL HOSPITAL","IL","155 EAST BRUSH HILL ROAD","60126","28"
"48631.78","8214.42","5303.94","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","WI - Milwaukee","LIBERTYVILLE","140202","ADVOCATE CONDELL MEDICAL CENTER","IL","801 S MILWAUKEE AVE","60048","19"
"32428.96","8783.25","6691.85","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Blue Island","OAK LAWN","140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","IL","4440 W 95TH STREET","60453","28"
"42526.40","6586.09","5617.18","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Peoria","PEORIA","140209","METHODIST MEDICAL CENTER OF ILLINOIS","IL","221 N E GLEN OAK AVE","61636","22"
"37699.75","10278.56","4759.37","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Melrose Park","GENEVA","140211","DELNOR COMMUNITY HOSPITAL","IL","300 RANDALL RD","60134","16"
"27950.95","7953.76","6437.52","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Evanston","PARK RIDGE","140223","ADVOCATE LUTHERAN GENERAL HOSPITAL","IL","1775 DEMPSTER ST","60068","21"
"33828.57","6693","6048.42","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Rockford","ROCKFORD","140228","SWEDISH AMERICAN HOSPITAL","IL","1401 EAST STATE STREET","61104","14"
"28576.92","6823.14","4677.14","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Hinsdale","NAPERVILLE","140231","EDWARD HOSPITAL","IL","801 SOUTH WASHINGTON","60540","14"
"21852.91","5747.54","4709","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Rockford","ROCKFORD","140233","SAINT ANTHONY MEDICAL CENTER","IL","5666 EAST STATE STREET","61108","24"
"28561.72","7198.38","5859.47","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Rockford","ROCKFORD","140239","ROCKFORD MEMORIAL HOSPITAL","IL","2400 NORTH ROCKTON AVENUE","61103","36"
"24047.58","6311.91","4906.28","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Evanston","ARLINGTON HEIGH","140252","NORTHWEST COMMUNITY HOSPITAL","IL","800 W CENTRAL ROAD","60005","46"
"58058.57","6765.76","4826.57","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Melrose Park","ELK GROVE VILLA","140258","ALEXIAN BROTHERS MEDICAL CENTER","IL","800 W BIESTERFIELD RD","60007","21"
"16858.45","6033.42","4681.81","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Davenport","ROCK ISLAND","140280","TRINITY ROCK ISLAND","IL","2701 17TH ST","61201","33"
"47876.05","9166.07","7467.43","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Chicago","CHICAGO","140281","NORTHWESTERN MEMORIAL HOSPITAL","IL","251 E HURON ST","60611","39"
"32482.92","5888.64","4929.78","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Hinsdale","DOWNERS GROVE","140288","ADVOCATE GOOD SAMARITAN HOSPITAL","IL","3815 HIGHLAND AVENUE","60515","14"
"31525.53","7769.86","5307.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IL - Elgin","BARRINGTON","140291","ADVOCATE GOOD SHEPHERD HOSPITAL","IL","450 WEST HIGHWAY 22","60010","15"
"34741.5","6980.20","6088.04","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Gary","GARY","150002","METHODIST HOSPITALS INC","IN","600 GRANT ST","46402","24"
"23228.89","7409.42","6529.14","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","KY - Louisville","JEFFERSONVILLE","150009","CLARK MEMORIAL HOSPITAL","IN","1220 MISSOURI AVE","47130","28"
"25856.23","6675.53","5289.6","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - South Bend","MISHAWAKA","150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","5215 HOLY CROSS PKWY","46545","30"
"22745.68","6660.56","4386.18","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Gary","MICHIGAN CITY","150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","301 W HOMER ST","46360","16"
"42572.59","6352.89","4693.29","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Fort Wayne","FORT WAYNE","150017","LUTHERAN HOSPITAL OF INDIANA","IN","7950 W JEFFERSON BLVD","46804","57"
"28872.77","6808.68","4759.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - South Bend","ELKHART","150018","ELKHART GENERAL HOSPITAL","IN","600 E BLVD","46514","22"
"28730.95","6109.21","5176.86","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Fort Wayne","FORT WAYNE","150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","11109 PARKVIEW PLAZA DRIVE","46805","23"
"45617.61","6216.34","5354.19","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Terre Haute","TERRE HAUTE","150023","UNION HOSPITAL INC","IN","1606 N SEVENTH ST","47804","26"
"20633.33","6520","4712.93","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - South Bend","GOSHEN","150026","IU HEALTH GOSHEN HOSPITAL","IN","200 HIGH PARK AVE","46526","15"
"15557.09","6106.66","5356.57","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Gary","HOBART","150034","ST MARY MEDICAL CENTER INC","IN","1500 S LAKE PARK AVE","46342","21"
"33416.90","6372.66","4736.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Gary","VALPARAISO","150035","PORTER VALPARAISO HOSPITAL","IN","814 LAPORTE AVE","46383","33"
"24836.43","7244.95","4716.21","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Evansville","VINCENNES","150042","GOOD SAMARITAN HOSPITAL","IN","520 S 7TH ST","47591","23"
"17997.56","5663.36","4306.36","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","KY - Louisville","NEW ALBANY","150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","IN","1850 STATE ST","47150","30"
"38349.07","5944.92","5057.78","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Terre Haute","TERRE HAUTE","150046","TERRE HAUTE REGIONAL HOSPITAL","IN","3901 S SEVENTH ST","47802","14"
"20525.14","6999.53","5648.92","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","RICHMOND","150048","REID HOSPITAL & HEALTH CARE SERVICES","IN","1100 REID PKWY","47374","28"
"22212.35","6364.5","4841.17","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","BLOOMINGTON","150051","INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","IN","601 W SECOND ST","47403","40"
"35710.81","9764.93","7054.52","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","INDIANAPOLIS","150056","INDIANA UNIVERSITY HEALTH","IN","1701 N SENATE BLVD","46206","82"
"22593.62","7081.64","5442.55","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - South Bend","SOUTH BEND","150058","MEMORIAL HOSPITAL OF SOUTH BEND","IN","615 N MICHIGAN ST","46601","54"
"19576.38","6245.15","4294.15","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","NOBLESVILLE","150059","RIVERVIEW HOSPITAL","IN","395 WESTFIELD RD","46060","13"
"22095.67","5590.67","4476.63","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Evansville","EVANSVILLE","150082","DEACONESS HOSPITAL INC","IN","600 MARY ST","47747","52"
"33676.30","7257.54","5321.48","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","INDIANAPOLIS","150084","ST VINCENT HOSPITAL & HEALTH SERVICES","IN","2001 W 86TH ST","46260","68"
"25897.23","6041.69","5347.53","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","ANDERSON","150088","SAINT JOHN'S HEALTH SYSTEM","IN","2015 JACKSON ST","46016","13"
"26232","6515.3","5842.5","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Muncie","MUNCIE","150089","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","IN","2401 UNIVERSITY AVE","47303","20"
"23860.63","6066.27","5145.90","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Munster","DYER","150090","FRANCISCAN ST MARGARET HEALTH - DYER","IN","24 JOLIET ST","46311","11"
"22382.72","5657","4847.08","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Evansville","EVANSVILLE","150100","ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","IN","3700 WASHINGTON AVE","47750","25"
"36539.26","6334.03","5139.19","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Lafayette","LAFAYETTE","150109","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST","IN","1701 S CREASY LN","47905","26"
"19772.92","6579.76","4604.30","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","COLUMBUS","150112","COLUMBUS REGIONAL HOSPITAL","IN","2400 E 17TH ST","47201","13"
"9437.52","5504.2","3992.08","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Evansville","JASPER","150115","MEMORIAL HOSPITAL AND HEALTH CARE CENTER","IN","800 W 9TH ST","47546","25"
"16938.26","6064.52","5187.28","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Munster","MUNSTER","150125","COMMUNITY HOSPITAL","IN","901 MACARTHUR BLVD","46321","42"
"25106.11","6151.22","4727.61","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Gary","CROWN POINT","150126","FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","IN","1201 S MAIN ST","46307","18"
"26619.63","5940.36","4203.18","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","INDIANAPOLIS","150128","COMMUNITY HOSPITAL SOUTH","IN","1402 E COUNTY LINE RD S","46227","11"
"25252.5","5516.22","4644.40","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","INDIANAPOLIS","150153","ST VINCENT HEART CENTER OF INDIANA LLC","IN","10580 N MERIDIAN ST","46290","22"
"21765.47","5642.27","4543.23","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","INDIANAPOLIS","150154","INDIANA HEART HOSPITAL THE","IN","8075 N SHADELAND AVE","46250","73"
"25852.4","6263.72","5370.92","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","INDIANAPOLIS","150162","FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS","IN","8111 S EMERSON AVE","46237","25"
"32063.18","5417","4393.72","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Indianapolis","BLOOMINGTON","150164","MONROE HOSPITAL","IN","4011 S MONROE MEDICAL PARK BLVD","47403","11"
"30401.78","8782.21","3643.42","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Lafayette","LAFAYETTE","150173","INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","IN","5165 MCCARTY LN","47905","14"
"20321.7","5103","4090.6","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IN - Evansville","NEWBURGH","150175","THE HEART HOSPITAL AT DEACONESS GATEWAY LLC","IN","4007 GATEWAY BLVD","47630","30"
"18783.42","5945.69","5041.23","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Des Moines","FORT DODGE","160016","TRINITY REGIONAL MEDICAL CENTER","IA","802 KENYON RD","50501","26"
"18283.08","5843.29","4647","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Davenport","DAVENPORT","160033","GENESIS MEDICAL CENTER-DAVENPORT","IA","1227 EAST RUSHOLME STREET","52803","37"
"23512.10","6200.72","4819.82","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Cedar Rapids","CEDAR RAPIDS","160045","ST LUKES HOSPITAL","IA","1026 A AVE NE","52402","29"
"17654.42","5739.95","4988.33","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","NE - Omaha","COUNCIL BLUFFS","160047","JENNIE EDMUNDSON HOSPITAL","IA","933 EAST PIERCE STREET","51503","21"
"19429.5","5866.66","4831.66","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Davenport","WEST BURLINGTON","160057","GREAT RIVER MEDICAL CENTER","IA","1221 SOUTH GEAR AVENUE","52655","12"
"27753.57","8632.10","7688.94","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Iowa City","IOWA CITY","160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","IA","200 HAWKINS DRIVE","52242","19"
"23590.71","6299.95","5043.06","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","IA - Mason City","MASON CITY","160064","MERCY MEDICAL CENTER-NORTH IOWA","IA","1000 FOURTH STREET SW","50401","46"
